order,date,sex,age,body_wt,chest_girth,body_len
9,8/11/2005,FEMALE,1.67,26.31,54.2,113.3
6,5/11/2004,FEMALE,1.42,27.22,59,127
11,8/31/2007,FEMALE,1.67,22.68,60,109
129,6/20/2007,MALE,1.5,32.21,62,131
151,9/28/2010,MALE,1.75,36.29,63,121
31,8/6/2002,FEMALE,2.67,44.45,63,123
139,8/22/2009,MALE,1.67,35.38,63.5,112
148,9/10/2004,MALE,1.75,43.09,66,139
16,11/11/2004,FEMALE,1.92,40.82,66,136
37,11/29/2010,FEMALE,2.92,45.36,66,119
7,6/5/2005,FEMALE,1.5,45.36,67,134
138,7/1/2002,MALE,1.58,44.45,67,141
152,10/11/2000,MALE,1.83,37.65,67,130
28,7/6/2002,FEMALE,2.58,36.29,67,110
133,6/20/2007,MALE,1.5,45.36,67.5,137.5
125,5/24/2004,MALE,1.42,38.56,69,125
131,6/30/2009,MALE,1.5,37.65,69,111
123,3/21/2008,MALE,1.25,36.74,69.2,122.1
59,10/22/2005,FEMALE,3.83,49.9,70,139
166,5/10/2008,MALE,2.42,45.36,71,128
196,11/9/2000,MALE,2.92,44.45,71,134
146,9/21/2007,MALE,1.75,50.8,71.3,129.5
46,6/8/2000,FEMALE,3.5,41.73,72,134
36,11/11/2005,FEMALE,2.92,45.36,72.1,140.6
135,7/17/2002,MALE,1.58,48.53,72.5,148
92,7/3/2003,FEMALE,6.58,61.69,73,151
18,12/12/2004,FEMALE,2,49.9,74,150
3,4/13/2000,FEMALE,1.33,54.43,74.9,149.5
10,8/14/2002,FEMALE,1.67,44.45,75,139
13,9/22/2011,FEMALE,1.75,47.63,75,150
14,10/16/2008,FEMALE,1.83,45.36,75,144
17,11/9/2006,FEMALE,1.92,47.63,75,143.4
30,7/10/2012,FEMALE,2.58,49.9,75,140
5,5/10/2012,FEMALE,1.42,47.63,75.5,133
87,9/9/2005,FEMALE,5.75,56.7,75.5,146.5
144,8/5/2008,MALE,1.67,52.16,76,130
21,4/27/2010,FEMALE,2.33,45.36,76,142
39,12/13/2007,FEMALE,3,55.79,76,142
50,7/13/2000,FEMALE,3.58,50.8,76,146
90,6/11/2002,FEMALE,6.5,60.33,76,158
75,10/22/2005,FEMALE,4.83,59.87,76.5,142
19,12/14/2004,FEMALE,2,52.16,77,153
58,10/27/2005,FEMALE,3.83,56.25,77.5,126
70,7/7/2003,FEMALE,4.58,58.97,77.5,147.5
82,5/11/2000,FEMALE,5.42,59.42,77.5,150
150,9/9/2009,MALE,1.75,56.7,78,142
22,4/8/2008,FEMALE,2.33,53.07,78,152.5
35,11/8/2006,FEMALE,2.92,63.5,78,158
51,7/19/2012,FEMALE,3.58,58.97,78,154.5
181,8/11/2005,MALE,2.67,54.43,78.4,144.6
8,7/10/2012,FEMALE,1.58,49.9,78.5,150
140,8/26/2005,MALE,1.67,56.7,78.5,153
134,7/25/2008,MALE,1.58,54.43,79,130.5
67,6/23/2000,FEMALE,4.5,58.97,79,148
141,8/30/2007,MALE,1.67,56.7,79.5,150
104,7/9/2002,FEMALE,9.58,66.22,79.5,151
128,6/7/2006,MALE,1.5,58.97,80,135
149,9/1/2008,MALE,1.75,62.6,80,137
137,7/10/2002,MALE,1.58,71.67,80.5,165
26,7/25/2005,FEMALE,2.58,70.31,80.5,153.5
209,4/14/2000,MALE,3.33,70.31,80.5,160
1,1/25/2005,FEMALE,1.08,58.06,81,143
142,8/10/2004,MALE,1.67,56.7,81,148
174,7/23/2002,MALE,2.58,56.7,81,152.5
194,11/6/2006,MALE,2.92,68.04,81,165
213,6/22/2005,MALE,3.5,69.85,81,147
105,8/6/2002,FEMALE,9.67,76.2,81.5,161
4,5/10/2001,FEMALE,1.42,52.16,82,135
132,6/22/2004,MALE,1.5,68.04,82,150
29,7/2/2012,FEMALE,2.58,54.43,82,140
42,2/10/2008,FEMALE,3.17,54.43,82,136
48,6/19/2003,FEMALE,3.5,58.97,82,139
229,8/26/2005,MALE,3.67,70.31,82,146
244,7/26/2008,MALE,4.58,74.84,82,163
